Temperature,Minimum Humidity,Maximum Humidity, Minimum Soil Moisture,Maximum Soil Moisture,Minimum pH Level,Maximum pH Level,Disease/Pest,Practices,Medicines/Remedy
24,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper,"Flood the stubbles, shave and sweep along the bunds, and pick adults directly from the foliage at night when they are sluggish. Use poison baits from salt water and rice bran and use foliar sprays. ",fenitrothion + BPMC (fenobucarb) @ 400 ml/acre or dust fenitrothion + BPMC @ 12 Kg / acre
25,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper,"Flood the stubbles, shave and sweep along the bunds, and pick adults directly from the foliage at night when they are sluggish. Use poison baits from salt water and rice bran and use foliar sprays. ",fenitrothion + BPMC (fenobucarb) @ 400 ml/acre or dust fenitrothion + BPMC @ 12 Kg / acre
26,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper,"Flood the stubbles, shave and sweep along the bunds, and pick adults directly from the foliage at night when they are sluggish. Use poison baits from salt water and rice bran and use foliar sprays. ",fenitrothion + BPMC (fenobucarb) @ 400 ml/acre or dust fenitrothion + BPMC @ 12 Kg / acre
27,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper,"Flood the stubbles, shave and sweep along the bunds, and pick adults directly from the foliage at night when they are sluggish. Use poison baits from salt water and rice bran and use foliar sprays. ",fenitrothion + BPMC (fenobucarb) @ 400 ml/acre or dust fenitrothion + BPMC @ 12 Kg / acre
28,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper,"Flood the stubbles, shave and sweep along the bunds, and pick adults directly from the foliage at night when they are sluggish. Use poison baits from salt water and rice bran and use foliar sprays. ",fenitrothion + BPMC (fenobucarb) @ 400 ml/acre or dust fenitrothion + BPMC @ 12 Kg / acre
29,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper,"Flood the stubbles, shave and sweep along the bunds, and pick adults directly from the foliage at night when they are sluggish. Use poison baits from salt water and rice bran and use foliar sprays. ",fenitrothion + BPMC (fenobucarb) @ 400 ml/acre or dust fenitrothion + BPMC @ 12 Kg / acre
30,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper,"Flood the stubbles, shave and sweep along the bunds, and pick adults directly from the foliage at night when they are sluggish. Use poison baits from salt water and rice bran and use foliar sprays. ",fenitrothion + BPMC (fenobucarb) @ 400 ml/acre or dust fenitrothion + BPMC @ 12 Kg / acre
31,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper,"Flood the stubbles, shave and sweep along the bunds, and pick adults directly from the foliage at night when they are sluggish. Use poison baits from salt water and rice bran and use foliar sprays. ",fenitrothion + BPMC (fenobucarb) @ 400 ml/acre or dust fenitrothion + BPMC @ 12 Kg / acre
32,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper,"Flood the stubbles, shave and sweep along the bunds, and pick adults directly from the foliage at night when they are sluggish. Use poison baits from salt water and rice bran and use foliar sprays. ",fenitrothion + BPMC (fenobucarb) @ 400 ml/acre or dust fenitrothion + BPMC @ 12 Kg / acre
33,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper,"Flood the stubbles, shave and sweep along the bunds, and pick adults directly from the foliage at night when they are sluggish. Use poison baits from salt water and rice bran and use foliar sprays. ",fenitrothion + BPMC (fenobucarb) @ 400 ml/acre or dust fenitrothion + BPMC @ 12 Kg / acre
34,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper,"Flood the stubbles, shave and sweep along the bunds, and pick adults directly from the foliage at night when they are sluggish. Use poison baits from salt water and rice bran and use foliar sprays. ",fenitrothion + BPMC (fenobucarb) @ 400 ml/acre or dust fenitrothion + BPMC @ 12 Kg / acre
35,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper,"Flood the stubbles, shave and sweep along the bunds, and pick adults directly from the foliage at night when they are sluggish. Use poison baits from salt water and rice bran and use foliar sprays. ",fenitrothion + BPMC (fenobucarb) @ 400 ml/acre or dust fenitrothion + BPMC @ 12 Kg / acre
36,0.9,0.9,0.1,0.2,4.5,8,Short Horned Grasshopper,"Flood the stubbles, shave and sweep along the bunds, and pick adults directly from the foliage at night when they are sluggish. Use poison baits from salt water and rice bran and use foliar sprays. ",fenitrothion + BPMC (fenobucarb) @ 400 ml/acre or dust fenitrothion + BPMC @ 12 Kg / acre
25,0.8,0.8,0,0.2,5.7,7.1,Narrow Brown Leaf Spot,Remove weeds and weedy rice in the field and nearby areas to remove alternate hosts that allow the fungus to survive and infect new rice crops.,spray propiconazole at booting to heading stages.
26,0.8,0.8,0,0.2,5.7,7.1,Narrow Brown Leaf Spot,Remove weeds and weedy rice in the field and nearby areas to remove alternate hosts that allow the fungus to survive and infect new rice crops.,spray propiconazole at booting to heading stages.
27,0.8,0.8,0,0.2,5.7,7.1,Narrow Brown Leaf Spot,Remove weeds and weedy rice in the field and nearby areas to remove alternate hosts that allow the fungus to survive and infect new rice crops.,spray propiconazole at booting to heading stages.
28,0.8,0.8,0,0.2,5.7,7.1,Narrow Brown Leaf Spot,Remove weeds and weedy rice in the field and nearby areas to remove alternate hosts that allow the fungus to survive and infect new rice crops.,spray propiconazole at booting to heading stages.
25,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV),"Seed coating with pesticide is recommended before sowing, then seedlings should receive pesticide 3–5 days before transplanting.","pymetrozine, imidacloprid, nitenpyram, thiamethoxam, or buprofezin"
26,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV),"Seed coating with pesticide is recommended before sowing, then seedlings should receive pesticide 3–5 days before transplanting.","pymetrozine, imidacloprid, nitenpyram, thiamethoxam, or buprofezin"
27,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV),"Seed coating with pesticide is recommended before sowing, then seedlings should receive pesticide 3–5 days before transplanting.","pymetrozine, imidacloprid, nitenpyram, thiamethoxam, or buprofezin"
28,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV),"Seed coating with pesticide is recommended before sowing, then seedlings should receive pesticide 3–5 days before transplanting.","pymetrozine, imidacloprid, nitenpyram, thiamethoxam, or buprofezin"
29,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV),"Seed coating with pesticide is recommended before sowing, then seedlings should receive pesticide 3–5 days before transplanting.","pymetrozine, imidacloprid, nitenpyram, thiamethoxam, or buprofezin"
30,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV),"Seed coating with pesticide is recommended before sowing, then seedlings should receive pesticide 3–5 days before transplanting.","pymetrozine, imidacloprid, nitenpyram, thiamethoxam, or buprofezin"
31,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV),"Seed coating with pesticide is recommended before sowing, then seedlings should receive pesticide 3–5 days before transplanting.","pymetrozine, imidacloprid, nitenpyram, thiamethoxam, or buprofezin"
32,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV),"Seed coating with pesticide is recommended before sowing, then seedlings should receive pesticide 3–5 days before transplanting.","pymetrozine, imidacloprid, nitenpyram, thiamethoxam, or buprofezin"
33,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV),"Seed coating with pesticide is recommended before sowing, then seedlings should receive pesticide 3–5 days before transplanting.","pymetrozine, imidacloprid, nitenpyram, thiamethoxam, or buprofezin"
34,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV),"Seed coating with pesticide is recommended before sowing, then seedlings should receive pesticide 3–5 days before transplanting.","pymetrozine, imidacloprid, nitenpyram, thiamethoxam, or buprofezin"
35,0.35,0.45,0.5,1,5.5,7.5,Black-streaked Dwarf Virus (BSDV),"Seed coating with pesticide is recommended before sowing, then seedlings should receive pesticide 3–5 days before transplanting.","pymetrozine, imidacloprid, nitenpyram, thiamethoxam, or buprofezin"
26,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
27,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
28,0.92,1,0.32,0.42,6.5,6.9,Leaf Scald,Increase the spacing between plants during transplanting.,"benomyl, fentin acetate, edifenphos, and validamycin"
30,0.7,1,0,0.1,4.5,5.5,Wilting Leaves,Planting resistant rice varieties. Avoid excessive nitrogen fertilization. Plow stubble and straw into soil after harvest.,Prothioconazole
31,0.7,1,0,0.1,4.5,5.5,Wilting Leaves,Planting resistant rice varieties. Avoid excessive nitrogen fertilization. Plow stubble and straw into soil after harvest.,Prothioconazole
32,0.7,1,0,0.1,4.5,5.5,Wilting Leaves,Planting resistant rice varieties. Avoid excessive nitrogen fertilization. Plow stubble and straw into soil after harvest.,Prothioconazole
33,0.7,1,0,0.1,4.5,5.5,Wilting Leaves,Planting resistant rice varieties. Avoid excessive nitrogen fertilization. Plow stubble and straw into soil after harvest.,Prothioconazole
34,0.7,1,0,0.1,4.5,5.5,Wilting Leaves,Planting resistant rice varieties. Avoid excessive nitrogen fertilization. Plow stubble and straw into soil after harvest.,Prothioconazole
35,0.7,1,0,0.1,4.5,5.5,Wilting Leaves,Planting resistant rice varieties. Avoid excessive nitrogen fertilization. Plow stubble and straw into soil after harvest.,Prothioconazole
27,0.8,1,0.15,0.25,5.5,8.2,Head Smut,Use seed treatment fungicides in areas with a high incidence of the disease. Plant earlier to avoid the optimal temperatures for teliospores germination.,systemic fungicide (carboxin) or propiconazole and fiutriafol + imazalil sulphate
28,0.8,1,0.15,0.25,5.5,8.2,Head Smut,Use seed treatment fungicides in areas with a high incidence of the disease. Plant earlier to avoid the optimal temperatures for teliospores germination.,systemic fungicide (carboxin) or propiconazole and fiutriafol + imazalil sulphate
29,0.8,1,0.15,0.25,5.5,8.2,Head Smut,Use seed treatment fungicides in areas with a high incidence of the disease. Plant earlier to avoid the optimal temperatures for teliospores germination.,systemic fungicide (carboxin) or propiconazole and fiutriafol + imazalil sulphate
30,0.8,1,0.15,0.25,5.5,8.2,Head Smut,Use seed treatment fungicides in areas with a high incidence of the disease. Plant earlier to avoid the optimal temperatures for teliospores germination.,systemic fungicide (carboxin) or propiconazole and fiutriafol + imazalil sulphate
31,0.8,1,0.15,0.25,5.5,8.2,Head Smut,Use seed treatment fungicides in areas with a high incidence of the disease. Plant earlier to avoid the optimal temperatures for teliospores germination.,systemic fungicide (carboxin) or propiconazole and fiutriafol + imazalil sulphate
20,0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut,Hot water treatment or seed treatment with 10% salt water,"copper carbonate, triadimefon, and benomyl"
21,0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut,Hot water treatment or seed treatment with 10% salt water,"copper carbonate, triadimefon, and benomyl"
22,0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut,Hot water treatment or seed treatment with 10% salt water,"copper carbonate, triadimefon, and benomyl"
23,0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut,Hot water treatment or seed treatment with 10% salt water,"copper carbonate, triadimefon, and benomyl"
24,0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut,Hot water treatment or seed treatment with 10% salt water,"copper carbonate, triadimefon, and benomyl"
25,0.6,0.87,0.35,0.4,6,7.2,Loose Kernel Smut,Hot water treatment or seed treatment with 10% salt water,"copper carbonate, triadimefon, and benomyl"
25,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease,Clean seeds should be used to minimize the occurrence of the disease.,Penicillin and oxytetracycline
26,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease,Clean seeds should be used to minimize the occurrence of the disease.,Penicillin and oxytetracycline
27,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease,Clean seeds should be used to minimize the occurrence of the disease.,Penicillin and oxytetracycline
28,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease,Clean seeds should be used to minimize the occurrence of the disease.,Penicillin and oxytetracycline
29,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease,Clean seeds should be used to minimize the occurrence of the disease.,Penicillin and oxytetracycline
30,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease,Clean seeds should be used to minimize the occurrence of the disease.,Penicillin and oxytetracycline
31,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease,Clean seeds should be used to minimize the occurrence of the disease.,Penicillin and oxytetracycline
32,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease,Clean seeds should be used to minimize the occurrence of the disease.,Penicillin and oxytetracycline
33,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease,Clean seeds should be used to minimize the occurrence of the disease.,Penicillin and oxytetracycline
34,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease,Clean seeds should be used to minimize the occurrence of the disease.,Penicillin and oxytetracycline
35,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease,Clean seeds should be used to minimize the occurrence of the disease.,Penicillin and oxytetracycline
36,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease,Clean seeds should be used to minimize the occurrence of the disease.,Penicillin and oxytetracycline
37,0.5,0.75,0.135,0.14,6,7,Foot Rot Disease,Clean seeds should be used to minimize the occurrence of the disease.,Penicillin and oxytetracycline
20,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot,"application of potash at tillering stage, controlling weeds and keep field sanitation.",Mancozeb and Benomyl
21,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot,"application of potash at tillering stage, controlling weeds and keep field sanitation.",Mancozeb and Benomyl
22,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot,"application of potash at tillering stage, controlling weeds and keep field sanitation.",Mancozeb and Benomyl
23,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot,"application of potash at tillering stage, controlling weeds and keep field sanitation.",Mancozeb and Benomyl
24,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot,"application of potash at tillering stage, controlling weeds and keep field sanitation.",Mancozeb and Benomyl
25,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot,"application of potash at tillering stage, controlling weeds and keep field sanitation.",Mancozeb and Benomyl
26,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot,"application of potash at tillering stage, controlling weeds and keep field sanitation.",Mancozeb and Benomyl
27,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot,"application of potash at tillering stage, controlling weeds and keep field sanitation.",Mancozeb and Benomyl
28,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot,"application of potash at tillering stage, controlling weeds and keep field sanitation.",Mancozeb and Benomyl
29,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot,"application of potash at tillering stage, controlling weeds and keep field sanitation.",Mancozeb and Benomyl
30,0.65,0.85,0.27,0.29,5.58,7.5,Sheath Rot,"application of potash at tillering stage, controlling weeds and keep field sanitation.",Mancozeb and Benomyl
20,0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot,"Avoid overhead watering to limit leaf wetness, and allow enough space at planting time for good air circulation and ample sun penetration. ",propiconazole-azoxystrobin
21,0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot,"Avoid overhead watering to limit leaf wetness, and allow enough space at planting time for good air circulation and ample sun penetration. ",propiconazole-azoxystrobin
22,0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot,"Avoid overhead watering to limit leaf wetness, and allow enough space at planting time for good air circulation and ample sun penetration. ",propiconazole-azoxystrobin
23,0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot,"Avoid overhead watering to limit leaf wetness, and allow enough space at planting time for good air circulation and ample sun penetration. ",propiconazole-azoxystrobin
24,0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot,"Avoid overhead watering to limit leaf wetness, and allow enough space at planting time for good air circulation and ample sun penetration. ",propiconazole-azoxystrobin
25,0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot,"Avoid overhead watering to limit leaf wetness, and allow enough space at planting time for good air circulation and ample sun penetration. ",propiconazole-azoxystrobin
25,0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot,"Avoid overhead watering to limit leaf wetness, and allow enough space at planting time for good air circulation and ample sun penetration. ",propiconazole-azoxystrobin
26,0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot,"Avoid overhead watering to limit leaf wetness, and allow enough space at planting time for good air circulation and ample sun penetration. ",propiconazole-azoxystrobin
27,0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot,"Avoid overhead watering to limit leaf wetness, and allow enough space at planting time for good air circulation and ample sun penetration. ",propiconazole-azoxystrobin
28,0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot,"Avoid overhead watering to limit leaf wetness, and allow enough space at planting time for good air circulation and ample sun penetration. ",propiconazole-azoxystrobin
29,0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot,"Avoid overhead watering to limit leaf wetness, and allow enough space at planting time for good air circulation and ample sun penetration. ",propiconazole-azoxystrobin
30,0.87,0.87,0.75,1,6,6.5,Alternaria Leaf Spot,"Avoid overhead watering to limit leaf wetness, and allow enough space at planting time for good air circulation and ample sun penetration. ",propiconazole-azoxystrobin
42,0.1,0.45,0.6,0.8,5.5,9,Heat Stress,"Induce acclimation with growth regulators and nutrients, breeding for genetically heat resistant cultivars, and developing genetic alterational. ","calcium, abscisic acid (ABA), ethylene, and salicylic acid (SA)"
43,0.1,0.45,0.6,0.8,5.5,9,Heat Stress,"Induce acclimation with growth regulators and nutrients, breeding for genetically heat resistant cultivars, and developing genetic alterational. ","calcium, abscisic acid (ABA), ethylene, and salicylic acid (SA)"
44,0.1,0.45,0.6,0.8,5.5,9,Heat Stress,"Induce acclimation with growth regulators and nutrients, breeding for genetically heat resistant cultivars, and developing genetic alterational. ","calcium, abscisic acid (ABA), ethylene, and salicylic acid (SA)"
45,0.1,0.45,0.6,0.8,5.5,9,Heat Stress,"Induce acclimation with growth regulators and nutrients, breeding for genetically heat resistant cultivars, and developing genetic alterational. ","calcium, abscisic acid (ABA), ethylene, and salicylic acid (SA)"
30,0.622,0.937,0.5,1,5.3,6,Brown planthopper,Rotating crop for a year and planting resistant varieties,"buprofezin, pymetrozine, etofenprox, or alternating compounds"
31,0.622,0.937,0.5,1,5.3,6,Brown planthopper,Rotating crop for a year and planting resistant varieties,"buprofezin, pymetrozine, etofenprox, or alternating compounds"
31,0.622,0.937,0.5,1,5.3,6,Brown planthopper,Rotating crop for a year and planting resistant varieties,"buprofezin, pymetrozine, etofenprox, or alternating compounds"
32,0.622,0.937,0.5,1,5.3,6,Brown planthopper,Rotating crop for a year and planting resistant varieties,"buprofezin, pymetrozine, etofenprox, or alternating compounds"
33,0.622,0.937,0.5,1,5.3,6,Brown planthopper,Rotating crop for a year and planting resistant varieties,"buprofezin, pymetrozine, etofenprox, or alternating compounds"
34,0.622,0.937,0.5,1,5.3,6,Brown planthopper,Rotating crop for a year and planting resistant varieties,"buprofezin, pymetrozine, etofenprox, or alternating compounds"
35,0.622,0.937,0.5,1,5.3,6,Brown planthopper,Rotating crop for a year and planting resistant varieties,"buprofezin, pymetrozine, etofenprox, or alternating compounds"
26,0.8,0.8,0.2,0.4,6,7.5,Rice bugs,Keep the field and surrounding area free from weeds ,Metarhizium anisopilae
27,0.8,0.8,0.2,0.4,6,7.5,Rice bugs,Keep the field and surrounding area free from weeds ,Metarhizium anisopilae
28,0.8,0.8,0.2,0.4,6,7.5,Rice bugs,Keep the field and surrounding area free from weeds ,Metarhizium anisopilae
25,0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder,Use resistant varieties. Flood and plow field after harvesting if possible.,Trichogramma chilonis
26,0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder,Use resistant varieties. Flood and plow field after harvesting if possible.,Trichogramma chilonis
27,0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder,Use resistant varieties. Flood and plow field after harvesting if possible.,Trichogramma chilonis
28,0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder,Use resistant varieties. Flood and plow field after harvesting if possible.,Trichogramma chilonis
29,0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder,Use resistant varieties. Flood and plow field after harvesting if possible.,Trichogramma chilonis
30,0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder,Use resistant varieties. Flood and plow field after harvesting if possible.,Trichogramma chilonis
30,0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder,Use resistant varieties. Flood and plow field after harvesting if possible.,Trichogramma chilonis
31,0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder,Use resistant varieties. Flood and plow field after harvesting if possible.,Trichogramma chilonis
32,0.6164,0.9368,0.66,1,5.5,8.7,Leaf Folder,Use resistant varieties. Flood and plow field after harvesting if possible.,Trichogramma chilonis
25,0.6164,0.9368,0.66,1,5.5,7,Field Cricket,Use resistant varieties. Level the field. Irrigate every 3-4 days. Avoid nurseries with raised bed during seedling stage.,"carbaryl, permethrin, cyfluthrin, and bifenthrin."
26,0.6164,0.9368,0.66,1,5.5,7,Field Cricket,Use resistant varieties. Level the field. Irrigate every 3-4 days. Avoid nurseries with raised bed during seedling stage.,"carbaryl, permethrin, cyfluthrin, and bifenthrin."
27,0.6164,0.9368,0.66,1,5.5,7,Field Cricket,Use resistant varieties. Level the field. Irrigate every 3-4 days. Avoid nurseries with raised bed during seedling stage.,"carbaryl, permethrin, cyfluthrin, and bifenthrin."
28,0.6164,0.9368,0.66,1,5.5,7,Field Cricket,Use resistant varieties. Level the field. Irrigate every 3-4 days. Avoid nurseries with raised bed during seedling stage.,"carbaryl, permethrin, cyfluthrin, and bifenthrin."
29,0.6164,0.9368,0.66,1,5.5,7,Field Cricket,Use resistant varieties. Level the field. Irrigate every 3-4 days. Avoid nurseries with raised bed during seedling stage.,"carbaryl, permethrin, cyfluthrin, and bifenthrin."
30,0.6164,0.9368,0.66,1,5.5,7,Field Cricket,Use resistant varieties. Level the field. Irrigate every 3-4 days. Avoid nurseries with raised bed during seedling stage.,"carbaryl, permethrin, cyfluthrin, and bifenthrin."
30,0.6164,0.9368,0.66,1,5.5,7,Field Cricket,Use resistant varieties. Level the field. Irrigate every 3-4 days. Avoid nurseries with raised bed during seedling stage.,"carbaryl, permethrin, cyfluthrin, and bifenthrin."
31,0.6164,0.9368,0.66,1,5.5,7,Field Cricket,Use resistant varieties. Level the field. Irrigate every 3-4 days. Avoid nurseries with raised bed during seedling stage.,"carbaryl, permethrin, cyfluthrin, and bifenthrin."
32,0.6164,0.9368,0.66,1,5.5,7,Field Cricket,Use resistant varieties. Level the field. Irrigate every 3-4 days. Avoid nurseries with raised bed during seedling stage.,"carbaryl, permethrin, cyfluthrin, and bifenthrin."
25,0.4892,0.7876,0.5,1,6.5,7.5,Caseworm,Use of correct fertilizer application. Transplant older seedlings. Sparse planting can also reduce the damage.,Use foliar treatments of carbamate insecticides; avoid pyrethroids.
26,0.4892,0.7876,0.5,1,6.5,7.5,Caseworm,Use of correct fertilizer application. Transplant older seedlings. Sparse planting can also reduce the damage.,Use foliar treatments of carbamate insecticides; avoid pyrethroids.
27,0.4892,0.7876,0.5,1,6.5,7.5,Caseworm,Use of correct fertilizer application. Transplant older seedlings. Sparse planting can also reduce the damage.,Use foliar treatments of carbamate insecticides; avoid pyrethroids.
28,0.4892,0.7876,0.5,1,6.5,7.5,Caseworm,Use of correct fertilizer application. Transplant older seedlings. Sparse planting can also reduce the damage.,Use foliar treatments of carbamate insecticides; avoid pyrethroids.
29,0.4892,0.7876,0.5,1,6.5,7.5,Caseworm,Use of correct fertilizer application. Transplant older seedlings. Sparse planting can also reduce the damage.,Use foliar treatments of carbamate insecticides; avoid pyrethroids.
30,0.4892,0.7876,0.5,1,6.5,7.5,Caseworm,Use of correct fertilizer application. Transplant older seedlings. Sparse planting can also reduce the damage.,Use foliar treatments of carbamate insecticides; avoid pyrethroids.
30,0.4892,0.7876,0.5,1,6.5,7.5,Caseworm,Use of correct fertilizer application. Transplant older seedlings. Sparse planting can also reduce the damage.,Use foliar treatments of carbamate insecticides; avoid pyrethroids.
25,0.95,1,0.24,1,3.5,7,Fusarium Head Blight,Limit the storage of feed grain/grain products in uncovered piles or in direct contact with the soil.,Prosaro (prothioconazole plus tebuconazole) or Caramba (metconazole)
26,0.95,1,0.24,1,3.5,7,Fusarium Head Blight,Limit the storage of feed grain/grain products in uncovered piles or in direct contact with the soil.,Prosaro (prothioconazole plus tebuconazole) or Caramba (metconazole)
27,0.95,1,0.24,1,3.5,7,Fusarium Head Blight,Limit the storage of feed grain/grain products in uncovered piles or in direct contact with the soil.,Prosaro (prothioconazole plus tebuconazole) or Caramba (metconazole)
28,0.95,1,0.24,1,3.5,7,Fusarium Head Blight,Limit the storage of feed grain/grain products in uncovered piles or in direct contact with the soil.,Prosaro (prothioconazole plus tebuconazole) or Caramba (metconazole)
40,0.85,0.9,0.75,1,4,6,Complete Sterility,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
41,0.85,0.9,0.75,1,4,6,Complete Sterility,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
42,0.85,0.9,0.75,1,4,6,Complete Sterility,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
43,0.85,0.9,0.75,1,4,6,Complete Sterility,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
44,0.85,0.9,0.75,1,4,6,Complete Sterility,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
45,0.85,0.9,0.75,1,4,6,Complete Sterility,Application of kasugamycin and aminooxyacetic acid (AOA),kasugamycin and aminooxyacetic acid (AOA)
20,0.75,0.9,0.4,0.6,5.8,8,Southern rice black-streaked dwarf virus,"Reduce vector populations through insecticide applications, use of planting dates that avoid high vector populations, and planting tolerant lines.","Spray insecticides twice, 15 and 30 days after transplanting. Fenitrothion 50 EC 80 ml (or) Phosphamidon 40 SL 50 ml (or) Fenthion 100 EC 40 ml (or) Quinalphos 25 EC 80 ml (or) Phosalone 35 EC 120 ml (or)Monocrotophos 36 SL 40 ml."
21,0.75,0.9,0.4,0.6,5.8,8,Southern rice black-streaked dwarf virus  ,"Reduce vector populations through insecticide applications, use of planting dates that avoid high vector populations, and planting tolerant lines.","Spray insecticides twice, 15 and 30 days after transplanting. Fenitrothion 50 EC 80 ml (or) Phosphamidon 40 SL 50 ml (or) Fenthion 100 EC 40 ml (or) Quinalphos 25 EC 80 ml (or) Phosalone 35 EC 120 ml (or)Monocrotophos 36 SL 40 ml."
22,0.75,0.9,0.4,0.6,5.8,8,Southern rice black-streaked dwarf virus ,"Reduce vector populations through insecticide applications, use of planting dates that avoid high vector populations, and planting tolerant lines.","Spray insecticides twice, 15 and 30 days after transplanting. Fenitrothion 50 EC 80 ml (or) Phosphamidon 40 SL 50 ml (or) Fenthion 100 EC 40 ml (or) Quinalphos 25 EC 80 ml (or) Phosalone 35 EC 120 ml (or)Monocrotophos 36 SL 40 ml."
23,0.75,0.9,0.4,0.6,5.8,8,Southern rice black-streaked dwarf virus  ,"Reduce vector populations through insecticide applications, use of planting dates that avoid high vector populations, and planting tolerant lines.","Spray insecticides twice, 15 and 30 days after transplanting. Fenitrothion 50 EC 80 ml (or) Phosphamidon 40 SL 50 ml (or) Fenthion 100 EC 40 ml (or) Quinalphos 25 EC 80 ml (or) Phosalone 35 EC 120 ml (or)Monocrotophos 36 SL 40 ml."
